IGN,region,rank_rating,Combat_ability_1_casts,Combat_ability_1_casts/match,Combat_ability_1_casts/round,Combat_ability_2_casts,Combat_ability_2_casts/match,Combat_ability_2_casts/round,Combat_aces,Combat_acs,Combat_assists,Combat_assists/match,Combat_assists/round,Combat_clutch,Combat_clutches,Combat_clutches__1v1,Combat_clutches__1v2,Combat_clutches__1v3,Combat_clutches__1v4,Combat_clutches_lost__1v2,Combat_clutches_lost__1v3,Combat_clutches_lost__1v4,Combat_clutches_lost__1v5,Combat_damage,Combat_damage_delta_δ,Combat_damage_received,Combat_damage/match,Combat_damage/minute,Combat_damage/round,Combat_ddδ/round,Combat_dealt_bodyshots,Combat_dealt_headshots,Combat_dealt_legshots,Combat_deaths,Combat_deaths/match,Combat_deaths/round,Combat_defuses,Combat_disconnects,Combat_econ_rating,Combat_econ_rating/round,Combat_esr,Combat_first_bloods,Combat_first_bloods/match,Combat_first_bloods/round,Combat_first_deaths,Combat_first_deaths/round,Combat_flawless_rounds,Combat_grenade_casts,Combat_grenade_casts/match,Combat_grenade_casts/round,Combat_headshot,Combat_headshots,Combat_headshots/round,Combat_k/d_ratio,Combat_kad_ratio,Combat_kast,Combat_kda_ratio,Combat_kills,Combat_kills/match,Combat_kills/round,Combat_last_deaths,Combat_losses,Combat_matches_played,Combat_most_kills__match,Combat_multikills__1k,Combat_multikills__2k,Combat_multikills__3k,Combat_multikills__4k,Combat_multikills__5k,Combat_multikills__6k,Combat_mvps,Combat_plants,Combat_received_bodyshots,Combat_received_headshots,Combat_received_legshots,Combat_rounds_lost,Combat_rounds_played,Combat_rounds_survived,Combat_rounds_traded,Combat_rounds_won,Combat_score,Combat_score/match,Combat_suicides,Combat_team_aces,Combat_thrifty_rounds,Combat_ties,Combat_time_played,Combat_ultimate_casts,Combat_ultimate_casts/match,Combat_ultimate_casts/round,Combat_wins,Game_econ_rating/match,Game_matches_duration,Game_round_win,Game_rounds_duration,Game_win,Attack_acs,Attack_assists,Attack_assists/round,Attack_damage,Attack_damage_delta_δ,Attack_damage_received,Attack_damage/round,Attack_ddδ/round,Attack_deaths/round,Attack_esr,Attack_first_bloods,Attack_first_bloods/round,Attack_first_deaths,Attack_first_deaths/round,Attack_headshots,Attack_k/d_ratio,Attack_kast,Attack_kills,Attack_kills/round,Attack_plants/match,Attack_plants/round,Attack_round_win,Attack_rounds_lost,Attack_rounds_played,Attack_rounds_survived,Attack_rounds_traded,Attack_rounds_won,Attack_score,Defense_acs,Defense_assists,Defense_assists/round,Defense_damage,Defense_damage_delta_δ,Defense_damage_received,Defense_damage/round,Defense_ddδ/round,Defense_deaths,Defense_defuses/match,Defense_defuses/round,Defense_esr,Defense_first_bloods,Defense_first_bloods/round,Defense_first_deaths,Defense_first_deaths/round,Defense_headshots,Defense_k/d_ratio,Defense_kast,Defense_kills,Defense_kills/round,Defense_round_win,Defense_rounds_lost,Defense_rounds_played,Defense_rounds_survived,Defense_rounds_traded,Defense_rounds_won,Defense_score,Uncategorized_peak_rating,Uncategorized_performance_score,Uncategorized_rating
stochastic#t4r0,na,193.0,"2,533",12.54,0.6,"6,092",30.16,1.4,7,202.0,"1,312",6.5,0.3,2.5%,108,74,22,8,3,79,145,126,61,"570,463","5,665","564,798","2,824.07",83.2,130.7,1,"5,040","2,963",394,"2,984",14.8,0.7,74,0,"11,058",2.5,0.49,345,1.71,0.1,366,0.1,142,"2,994",14.82,0.7,35.3%,"2,527",0.6,1.04,1.48,73.1%,1.26,"3,109",15.4,0.7,449,96,202,30,"1,294",530,186,38,9,0,17,373,"5,531","2,467",341,"2,158","4,365","1,394",645,"2,207","881,910","4,366",5,31,406,2,114h,409,2.02,0.1,104,55,33m 56s,50.6%,01m 34s,51.5%,197.5,675,0.3,"278,427","-11,087","289,514",127.0,-5,"1,525",0.44,150,0.1,188,0.1,"1,251",1.00,72.5%,"1,531",0.7,1.85,0.2,49.2%,"1,115","2,193",675,365,"1,078","433,221",206.6,633,0.3,"292,036","16,752","275,284",134.5,8,"1,459",0.37,0.0,0.52,195,0.1,178,0.1,"1,276",1.08,73.7%,"1,578",0.7,52.0%,"1,043","2,172",719,280,"1,129","448,689",402,569,193
GV Stimulated#STIMD,na,128.0,"2,806",13.17,0.6,"6,196",29.09,1.4,3,220.1,"1,461",6.9,0.3,2.0%,89,39,39,10,1,83,120,113,50,"646,203","13,391","632,812","3,033.82",92.1,145.1,3,"7,821","2,389",692,"3,436",16.1,0.8,86,0,"11,833",2.7,0.46,418,1.96,0.1,494,0.1,155,"2,643",12.41,0.6,21.9%,"2,060",0.5,0.97,1.40,72.3%,1.18,"3,334",15.7,0.7,400,100,213,31,"1,293",580,209,56,6,0,23,549,"6,837","2,701",556,"2,200","4,455","1,197",761,"2,255","980,634","4,604",23,41,206,2,116h,648,3.04,0.1,111,56,32m 57s,50.6%,01m 34s,52.1%,205.6,708,0.3,"307,774","-24,143","331,917",134.6,-11,"1,804",0.38,176,0.1,289,0.1,999,0.88,70.1%,"1,595",0.7,2.58,0.2,47.4%,"1,203","2,286",580,427,"1,083","470,017",235.4,748,0.3,"338,429","37,534","300,895",156.0,17,"1,632",0.40,0.0,0.54,242,0.1,205,0.1,"1,061",1.07,74.6%,"1,739",0.8,54.0%,997,"2,169",617,334,"1,172","510,617",320,622,128
fronto pronto#shai,na,175.0,"3,383",10.54,0.5,"8,925",27.80,1.3,12,227.8,"1,751",5.5,0.3,2.1%,141,76,50,10,2,146,206,214,78,"1,017,155","76,101","941,054","3,168.71",98.7,150.4,11,"9,689","4,686",802,"4,913",15.3,0.7,133,0,"20,193",3.0,0.53,771,2.40,0.1,671,0.1,239,"2,515",7.83,0.4,30.9%,"3,998",0.6,1.11,1.46,73.7%,1.28,"5,435",16.9,0.8,719,155,321,32,"2,048","1,014",347,62,12,2,38,343,"9,956","4,046",980,"3,360","6,762","2,053","1,114","3,402","1,540,607","4,799",22,47,544,4,171h,819,2.55,0.1,162,63,32m 07s,50.3%,01m 31s,50.5%,217.3,784,0.2,"477,341","-10,317","487,658",143.0,-3,"2,549",0.48,368,0.1,402,0.1,"1,947",1.00,71.9%,"2,549",0.8,1.07,0.1,47.2%,"1,763","3,339",899,631,"1,576","725,495",238.1,960,0.3,"539,814","86,418","453,396",157.7,25,"2,364",0.41,0.0,0.60,403,0.1,269,0.1,"2,051",1.22,75.4%,"2,888",0.8,53.3%,"1,597","3,423","1,154",483,"1,826","815,112",693,710,175
Fairy#NA2,na,0,"2,481",9.85,0.5,"5,546",22.01,1.0,2,194.6,"1,097",4.4,0.2,2.0%,108,53,36,16,2,146,185,157,83,"687,076","-34,788","721,864","2,726.49",83.5,129.9,-7,"5,633","3,091",366,"3,893",15.4,0.7,84,0,"13,376",2.5,0.47,475,1.88,0.1,529,0.1,168,"2,402",9.53,0.5,34.0%,"2,759",0.5,0.94,1.22,67.9%,1.08,"3,659",14.5,0.7,620,138,252,28,"1,573",609,209,58,2,0,9,200,"7,392","3,118",544,"2,762","5,288","1,484",705,"2,526","1,029,128","4,084",13,43,82,4,137h,586,2.33,0.1,110,53,32m 40s,47.8%,01m 33s,43.7%,184.5,541,0.2,"328,516","-51,332","379,848",122.1,-19,"2,048",0.40,210,0.1,318,0.1,"1,334",0.86,66.0%,"1,767",0.7,0.79,0.1,45.5%,"1,467","2,691",689,410,"1,224","496,501",205.1,551,0.2,"358,560","16,544","342,016",138.1,6,"1,845",0.33,0.0,0.56,265,0.1,211,0.1,"1,425",1.03,69.9%,"1,893",0.7,50.1%,"1,295","2,597",795,295,"1,302","532,627",490,280,
JayBlrdy#bella,na,203,"2,553",10.25,0.5,"4,637",18.62,0.9,9,231.5,"1,229",4.9,0.2,1.8%,95,56,25,10,2,89,106,114,63,"820,313","43,928","776,385","3,294.43",99.3,152.2,8,"7,407","3,608",492,"4,068",16.3,0.8,77,0,"14,940",2.8,0.51,732,2.94,0.1,709,0.1,209,"2,971",11.93,0.6,31.4%,"3,259",0.6,1.07,1.37,71.7%,1.22,"4,340",17.4,0.8,405,119,249,37,"1,615",763,287,67,14,0,31,170,"7,761","3,414",645,"2,667","5,389","1,352",984,"2,722","1,247,679","5,011",7,53,254,5,137h,649,2.61,0.1,125,60,33m 09s,50.5%,01m 31s,50.2%,220.7,622,0.2,"387,094","-20,148","407,242",144.2,-8,"2,128",0.45,335,0.1,405,0.2,"1,554",0.96,70.8%,"2,049",0.8,0.68,0.1,47.1%,"1,420","2,685",578,573,"1,265","592,515",242.3,601,0.2,"433,219","64,076","369,143",160.2,24,"1,940",0.31,0.0,0.57,397,0.1,304,0.1,"1,705",1.18,72.5%,"2,291",0.8,53.9%,"1,247","2,704",774,411,"1,457","655,164",403,662,
unsane#sybau,na,0,"6,057",15.33,0.7,"10,301",26.08,1.2,7,173.1,"2,339",5.9,0.3,3.5%,288,178,80,18,5,317,453,385,164,"946,116","-12,203","958,319","2,395.23",71.7,113.5,-1,"10,983","4,185",548,"5,180",13.1,0.6,243,0,"20,451",2.5,0.47,337,0.85,0.0,383,0.0,298,"7,051",17.85,0.8,26.6%,"3,646",0.4,1.01,1.46,74.0%,1.23,"5,212",13.2,0.6,"1,398",192,395,31,"2,441",899,253,40,11,0,4,"1,178","10,761","3,904",955,"4,081","8,334","3,237",902,"4,253","1,442,926","3,653",20,63,955,7,220h,812,2.06,0.1,196,52,33m 25s,51.0%,01m 35s,49.6%,165.8,"1,124",0.3,"458,368","-50,017","508,385",108.7,-12,"2,755",0.38,120,0.0,198,0.0,"1,827",0.91,71.9%,"2,513",0.6,2.98,0.3,49.0%,"2,149","4,215","1,514",522,"2,066","699,015",180.6,"1,207",0.3,"487,748","37,814","449,934",118.4,9,"2,425",0.62,0.1,0.54,217,0.1,185,0.0,"1,819",1.11,76.3%,"2,700",0.7,53.1%,"1,932","4,119","1,723",380,"2,187","743,911",0,515,
